proteinA,proteinB
prot_1748,prot_1653
prot_2158,prot_1454
prot_145,prot_1299
prot_1922,prot_1759
prot_2591,prot_481
prot_2357,prot_776
prot_34,prot_1613
prot_800,prot_1187
prot_2375,prot_1618
prot_1698,prot_2017
prot_656,prot_393
prot_1535,prot_1080
prot_2093,prot_1989
prot_333,prot_2282
prot_279,prot_2031
prot_429,prot_1628
prot_1349,prot_1610
prot_1844,prot_2756
prot_353,prot_731
prot_830,prot_2354
prot_1906,prot_1989
prot_1902,prot_2229
prot_2754,prot_2289
prot_1321,prot_1565
prot_702,prot_777
prot_2785,prot_711
prot_106,prot_2325
prot_370,prot_336
prot_2071,prot_2633
prot_2600,prot_2223
prot_1950,prot_2762
prot_2072,prot_1651
prot_1974,prot_818
prot_696,prot_2431
prot_2355,prot_1993
prot_420,prot_715
prot_2782,prot_1086
prot_1730,prot_300
prot_415,prot_1993
prot_2654,prot_1172
prot_2052,prot_2437
prot_66,prot_1482
prot_815,prot_2311
prot_1761,prot_624
prot_862,prot_506
prot_2688,prot_1009
prot_1624,prot_2111
prot_415,prot_1899
prot_346,prot_1294
prot_2615,prot_1671
prot_2621,prot_405
prot_2072,prot_2451
prot_401,prot_1640
prot_2245,prot_590
prot_1993,prot_1358
prot_1113,prot_443
prot_1299,prot_1273
prot_277,prot_2632
prot_1842,prot_1909
prot_2189,prot_2559
prot_2072,prot_2710
prot_177,prot_2683
prot_2772,prot_2213
prot_966,prot_867
prot_2046,prot_1741
prot_68,prot_1676
prot_2761,prot_711
prot_2639,prot_1884
prot_2511,prot_2632
prot_2092,prot_42
prot_1371,prot_778
prot_2666,prot_2486
prot_513,prot_1675
prot_277,prot_930
prot_47,prot_929
prot_255,prot_1098
prot_317,prot_1343
prot_1663,prot_2564
prot_354,prot_1729
prot_786,prot_757
prot_85,prot_1711
prot_866,prot_915
prot_1813,prot_1927
prot_1882,prot_2353
prot_946,prot_1097
prot_193,prot_1964
prot_1621,prot_1335
prot_2632,prot_542
prot_1474,prot_860
prot_526,prot_2755
prot_2652,prot_2660
prot_613,prot_1158
prot_960,prot_1415
prot_2515,prot_1279
prot_1759,prot_182
prot_333,prot_461
prot_2203,prot_2797
prot_8,prot_2632
prot_1122,prot_1989
prot_2791,prot_291
prot_2139,prot_2816
prot_2774,prot_1267
prot_1341,prot_386
prot_1270,prot_2695
prot_2243,prot_1
prot_2439,prot_2273
prot_1882,prot_286
prot_1412,prot_265
prot_2273,prot_305
prot_2111,prot_412
prot_448,prot_829
