proteinA,proteinB
prot_524,prot_448
prot_2029,prot_197
prot_1675,prot_607
prot_1886,prot_33
prot_1576,prot_42
prot_2329,prot_251
prot_392,prot_2472
prot_2274,prot_2202
prot_1919,prot_1097
prot_135,prot_2094
prot_2047,prot_1239
prot_2286,prot_848
prot_1245,prot_855
prot_867,prot_2027
prot_1265,prot_1627
prot_1655,prot_808
prot_2131,prot_1962
prot_524,prot_2447
prot_2029,prot_525
prot_1675,prot_723
prot_1886,prot_690
prot_1576,prot_2164
prot_2329,prot_463
prot_392,prot_2422
prot_2274,prot_9
prot_1919,prot_1949
prot_135,prot_748
prot_2357,prot_440
prot_2047,prot_432
prot_1544,prot_1206
prot_524,prot_710
prot_2029,prot_2453
prot_1675,prot_1516
prot_1886,prot_944
prot_1576,prot_1212
prot_2329,prot_1238
prot_392,prot_2434
prot_2274,prot_158
prot_1919,prot_2022
prot_135,prot_767
prot_2357,prot_642
prot_2047,prot_2465
prot_1544,prot_1867
prot_2286,prot_2049
prot_1245,prot_76
prot_867,prot_1195
prot_2131,prot_103
prot_524,prot_1147
prot_2029,prot_2146
prot_1675,prot_2118
prot_2329,prot_1383
prot_1383,prot_448
prot_1272,prot_607
prot_2118,prot_33
prot_2146,prot_42
prot_1147,prot_251
prot_103,prot_2472
prot_78,prot_2202
prot_1075,prot_1097
prot_1195,prot_2094
prot_76,prot_259
prot_2049,prot_1239
prot_1867,prot_1728
prot_2465,prot_848
prot_642,prot_855
prot_767,prot_2027
prot_2022,prot_1627
prot_158,prot_808
prot_2434,prot_1962
prot_1238,prot_2447
prot_1212,prot_525
prot_944,prot_723
prot_1516,prot_690
prot_2453,prot_2164
prot_710,prot_463
prot_1383,prot_2422
prot_1916,prot_9
prot_1272,prot_1949
prot_2118,prot_748
prot_2146,prot_440
prot_1147,prot_432
prot_103,prot_1206
prot_1163,prot_1850
prot_2393,prot_415
prot_532,prot_1062
prot_1196,prot_1122
prot_431,prot_478
prot_859,prot_1392
prot_2414,prot_156
prot_526,prot_221
prot_1411,prot_2004
prot_201,prot_317
prot_2373,prot_1983
prot_1796,prot_842
prot_146,prot_1179
prot_1569,prot_1776
prot_1344,prot_2467
prot_514,prot_1366
prot_1095,prot_1289
prot_1061,prot_1898
prot_2487,prot_302
prot_528,prot_345
prot_1157,prot_2292
prot_2261,prot_649
prot_444,prot_1042
prot_117,prot_2327
prot_239,prot_27
prot_1797,prot_53
prot_1749,prot_1116
prot_1156,prot_1297
prot_2474,prot_651
prot_796,prot_1765
prot_2436,prot_520
prot_500,prot_1391
prot_1125,prot_1869
prot_2043,prot_1937
prot_2105,prot_264
prot_1662,prot_2132
prot_695,prot_1305
prot_819,prot_1120
prot_1395,prot_2156
prot_1309,prot_376
prot_1484,prot_1950
prot_592,prot_2314
prot_1418,prot_2370
prot_426,prot_2485
prot_920,prot_139
prot_1263,prot_2163
prot_1223,prot_1670
prot_2012,prot_1546
prot_2299,prot_2377
prot_1328,prot_834
prot_1488,prot_445
prot_1575,prot_1862
prot_689,prot_2530
prot_555,prot_1080
prot_2153,prot_541
prot_1021,prot_1356
prot_457,prot_1872
prot_1374,prot_2187
prot_763,prot_934
prot_1433,prot_1640
prot_970,prot_102
prot_1163,prot_1508
prot_2393,prot_2229
prot_532,prot_1193
prot_1196,prot_1831
prot_431,prot_226
prot_859,prot_13
prot_2414,prot_1189
prot_526,prot_442
