proteinA,proteinB
prot_2170,prot_1137
prot_1038,prot_1850
prot_934,prot_2322
prot_1356,prot_1137
prot_1534,prot_1534
prot_1534,prot_332
prot_991,prot_1023
prot_990,prot_1023
prot_1000,prot_782
prot_2304,prot_2318
prot_2304,prot_113
prot_113,prot_2318
prot_829,prot_2290
prot_829,prot_783
prot_2290,prot_2290
prot_829,prot_1076
prot_829,prot_829
prot_829,prot_225
prot_1076,prot_1076
prot_1076,prot_225
prot_225,prot_225
prot_2168,prot_2112
prot_2288,prot_1958
prot_1143,prot_415
prot_1143,prot_484
prot_415,prot_484
prot_19,prot_2400
prot_19,prot_1062
prot_31,prot_1383
prot_19,prot_1988
prot_1305,prot_1988
prot_19,prot_1305
prot_160,prot_101
prot_1677,prot_101
prot_1244,prot_160
prot_1244,prot_1677
prot_1244,prot_101
prot_101,prot_2014
prot_1663,prot_101
prot_1460,prot_101
prot_101,prot_101
prot_1244,prot_2014
prot_1244,prot_2227
prot_2305,prot_987
prot_603,prot_1742
prot_603,prot_1963
prot_2528,prot_2461
prot_106,prot_1214
prot_1860,prot_1214
prot_322,prot_106
prot_1885,prot_1237
prot_1885,prot_1885
prot_703,prot_1237
prot_703,prot_703
prot_624,prot_466
prot_624,prot_454
prot_454,prot_466
prot_269,prot_466
prot_269,prot_454
prot_849,prot_924
prot_260,prot_875
prot_447,prot_1443
prot_568,prot_568
prot_478,prot_1197
prot_1122,prot_1197
prot_1122,prot_1122
prot_1122,prot_478
prot_2008,prot_2113
prot_2431,prot_1474
prot_2008,prot_2360
prot_1791,prot_606
prot_1244,prot_1244
prot_1647,prot_844
prot_402,prot_1210
prot_1921,prot_1210
prot_2300,prot_5
prot_609,prot_5
prot_1142,prot_1924
prot_1142,prot_935
prot_1142,prot_534
prot_1142,prot_536
prot_1189,prot_531
prot_1469,prot_1971
prot_2013,prot_334
prot_334,prot_99
prot_2252,prot_1350
prot_501,prot_1133
prot_2008,prot_877
prot_1038,prot_687
prot_2005,prot_269
prot_675,prot_1199
prot_1199,prot_2448
prot_1199,prot_2226
prot_1199,prot_2200
prot_1199,prot_1137
prot_161,prot_1200
prot_1200,prot_2379
prot_356,prot_1200
prot_937,prot_356
prot_1629,prot_356
prot_356,prot_293
prot_1890,prot_356
prot_356,prot_709
prot_22,prot_356
prot_250,prot_356
prot_109,prot_356
prot_356,prot_1565
prot_356,prot_1787
prot_356,prot_572
prot_637,prot_356
prot_650,prot_356
prot_600,prot_356
prot_356,prot_1188
prot_356,prot_1798
prot_978,prot_356
prot_356,prot_708
prot_1138,prot_1648
prot_660,prot_20
prot_20,prot_1138
prot_20,prot_1648
prot_2176,prot_1197
prot_2249,prot_1750
prot_1323,prot_2249
prot_1740,prot_2014
prot_1039,prot_726
prot_571,prot_1039
prot_1230,prot_1039
prot_159,prot_1039
prot_159,prot_726
prot_571,prot_159
prot_571,prot_1230
prot_159,prot_912
prot_416,prot_726
prot_1314,prot_1331
prot_1314,prot_1412
prot_1412,prot_1331
prot_1115,prot_2170
prot_924,prot_738
prot_738,prot_1371
prot_924,prot_1371
prot_1039,prot_5
prot_2008,prot_95
prot_2331,prot_2331
prot_108,prot_1635
prot_1207,prot_108
prot_372,prot_1986
prot_372,prot_994
prot_372,prot_862
prot_2137,prot_372
prot_1207,prot_372
prot_372,prot_372
prot_372,prot_1635
prot_1217,prot_372
prot_372,prot_1622
prot_372,prot_918
prot_372,prot_2353
prot_372,prot_951
prot_951,prot_1835
prot_951,prot_1039
prot_372,prot_952
prot_862,prot_952
prot_1952,prot_372
prot_372,prot_661
prot_1109,prot_661
prot_1490,prot_661
prot_1952,prot_661
prot_2326,prot_661
prot_951,prot_661
prot_2137,prot_952
prot_2137,prot_382
prot_1178,prot_382
prot_2137,prot_2505
prot_952,prot_1915
prot_372,prot_2214
prot_372,prot_1109
prot_372,prot_1940
prot_1207,prot_1207
prot_372,prot_51
prot_1854,prot_459
prot_1854,prot_1276
prot_19,prot_1276
