proteinA,proteinB
id_2170,id_1137
id_934,id_2322
id_1356,id_1137
id_1534,id_1534
id_1534,id_332
id_991,id_1023
id_990,id_1023
id_1000,id_782
id_2304,id_2318
id_2304,id_113
id_113,id_2318
id_829,id_2290
id_829,id_783
id_2290,id_2290
id_829,id_1076
id_829,id_829
id_829,id_225
id_1076,id_1076
id_1076,id_225
id_225,id_225
id_2168,id_2112
id_2288,id_1958
id_1143,id_415
id_1143,id_484
id_415,id_484
id_31,id_1383
id_1305,id_1988
id_1244,id_101
id_101,id_2014
id_1663,id_101
id_101,id_101
id_1244,id_2014
id_1244,id_2227
id_2305,id_987
id_106,id_1214
id_1860,id_1214
id_1885,id_1885
id_703,id_703
id_624,id_466
id_624,id_454
id_454,id_466
id_269,id_466
id_269,id_454
id_260,id_875
id_447,id_1443
id_568,id_568
id_478,id_1197
id_1122,id_1197
id_1122,id_1122
id_1122,id_478
id_2008,id_2113
id_2431,id_1474
id_2008,id_2360
id_1791,id_606
id_1244,id_1244
id_2300,id_5
id_609,id_5
id_1142,id_1924
id_1142,id_935
id_1142,id_534
id_1142,id_536
id_1189,id_531
id_2252,id_1350
id_501,id_1133
id_2008,id_877
id_675,id_1199
id_1199,id_2448
id_1199,id_2200
id_1199,id_1137
id_161,id_1200
id_1200,id_2379
id_356,id_1200
id_937,id_356
id_1629,id_356
id_356,id_293
id_1890,id_356
id_356,id_709
id_22,id_356
id_250,id_356
id_109,id_356
id_356,id_1565
id_356,id_1787
id_356,id_572
id_637,id_356
id_650,id_356
id_600,id_356
id_356,id_1188
id_356,id_1798
id_978,id_356
id_356,id_708
id_1138,id_1648
id_660,id_20
id_20,id_1138
id_20,id_1648
id_2176,id_1197
id_2249,id_1750
id_1323,id_2249
id_1740,id_2014
id_1039,id_726
id_571,id_1039
id_416,id_726
id_1314,id_1331
id_1314,id_1412
id_1412,id_1331
id_1115,id_2170
id_738,id_1371
id_1039,id_5
id_2008,id_95
id_2331,id_2331
id_108,id_1635
id_1207,id_108
id_951,id_1835
id_951,id_1039
id_1109,id_661
id_1952,id_661
id_2326,id_661
id_951,id_661
id_2137,id_382
id_1178,id_382
id_2137,id_2505
id_1207,id_1207
id_1854,id_459
id_1854,id_1276
id_1276,id_1468
id_1276,id_1392
id_1276,id_907
id_1854,id_1621
id_858,id_409
id_1854,id_858
id_652,id_1621
id_2307,id_1621
id_2187,id_1621
id_1621,id_1276
id_1621,id_1094
id_1621,id_2095
id_1621,id_1901
id_1854,id_1901
id_1276,id_1094
id_1276,id_2095
id_1901,id_1276
id_1854,id_1817
id_2206,id_1817
id_2206,id_1276
id_1276,id_1817
id_128,id_1901
id_128,id_2095
id_128,id_279
id_1458,id_1458
id_1854,id_1458
id_1276,id_1458
id_1468,id_1458
id_128,id_1854
id_128,id_1067
id_1051,id_965
id_1498,id_1115
id_912,id_1498
id_595,id_1115
id_921,id_2056
id_2056,id_103
id_2056,id_78
id_78,id_103
id_1807,id_921
id_1807,id_668
id_225,id_1643
id_829,id_1643
id_1076,id_1643
id_1671,id_273
id_3,id_2004
id_1711,id_2004
id_2194,id_1770
id_2194,id_1558
id_2308,id_827
id_1012,id_2344
id_1770,id_1937
id_1305,id_3
id_1770,id_2133
id_1558,id_1073
id_783,id_1076
id_783,id_225
id_1130,id_317
id_927,id_1267
id_829,id_1773
id_829,id_1416
id_829,id_1149
id_829,id_906
id_2290,id_1416
id_1076,id_2290
id_783,id_2290
id_225,id_2290
id_2290,id_1773
id_1643,id_2290
id_2290,id_2016
id_2290,id_906
id_1643,id_1149
id_1643,id_1416
id_1076,id_1416
id_1076,id_1149
id_1076,id_906
id_1076,id_1773
id_1076,id_2016
id_783,id_1416
id_225,id_1416
id_225,id_906
id_225,id_1773
id_225,id_2016
id_1630,id_1637
id_1637,id_2490
id_447,id_2173
id_1952,id_1986
id_2173,id_2427
id_1545,id_2427
id_2300,id_2427
id_2427,id_2144
id_5,id_2427
id_1039,id_2427
id_2355,id_125
id_2355,id_1754
id_2355,id_1107
id_279,id_2355
id_2355,id_1950
id_2355,id_1983
id_164,id_164
id_1064,id_798
id_1941,id_784
id_2346,id_612
id_1941,id_1077
id_1941,id_1978
id_784,id_1978
id_163,id_1262
id_1262,id_2038
id_2284,id_323
id_2284,id_2198
id_862,id_427
id_766,id_2111
id_509,id_509
id_389,id_314
id_248,id_436
id_1612,id_1841
id_904,id_904
id_2329,id_2329
id_1860,id_2507
id_1553,id_1604
id_1798,id_2209
id_1890,id_1798
id_195,id_495
id_229,id_1113
id_1604,id_1453
id_1604,id_1035
id_1779,id_1674
id_1163,id_1526
id_1570,id_1570
id_2019,id_1591
id_556,id_1755
id_2152,id_556
id_2009,id_2009
id_182,id_386
id_1444,id_2188
id_1888,id_1966
id_1200,id_1732
id_1776,id_2110
id_432,id_432
id_1134,id_432
id_1593,id_464
id_343,id_2310
id_937,id_1467
id_937,id_1793
id_937,id_1247
id_937,id_734
id_937,id_377
id_978,id_1467
id_978,id_1247
id_978,id_734
id_978,id_377
id_356,id_1793
id_356,id_377
id_736,id_2467
id_2178,id_2405
id_456,id_518
id_518,id_299
id_2257,id_398
id_1861,id_1366
id_2125,id_1834
id_1419,id_2158
id_383,id_394
id_1188,id_1814
id_780,id_26
id_2110,id_1289
id_935,id_26
id_1939,id_1713
id_946,id_581
id_1530,id_1539
id_1928,id_1904
id_534,id_1093
id_536,id_534
id_2259,id_2439
id_293,id_177
id_293,id_2045
id_293,id_1159
id_1716,id_1172
id_1005,id_1171
id_1005,id_1298
id_1005,id_1919
id_1651,id_2415
id_128,id_2093
id_534,id_1462
id_1909,id_1462
id_1847,id_204
id_857,id_1399
id_1088,id_2456
id_436,id_1417
id_1178,id_404
id_2194,id_700
id_1291,id_647
id_2209,id_377
id_377,id_1436
id_2068,id_1573
id_365,id_1503
id_1635,id_2135
id_1820,id_1761
id_592,id_2243
id_1074,id_853
id_2008,id_52
id_2008,id_1857
id_877,id_52
id_877,id_1809
id_877,id_2302
id_1199,id_737
id_2175,id_618
id_1146,id_137
id_568,id_1665
id_2187,id_1834
id_1843,id_1843
id_912,id_1113
id_1487,id_1948
id_1487,id_1292
id_1487,id_284
id_1292,id_390
id_2079,id_209
id_737,id_209
id_100,id_209
id_1890,id_209
id_209,id_486
id_1087,id_209
id_209,id_2166
id_366,id_1757
id_366,id_1704
id_432,id_1704
id_2434,id_1704
id_1134,id_1704
id_1482,id_1482
id_23,id_2222
id_1916,id_2465
id_1916,id_1272
id_1134,id_2049
id_693,id_1731
id_1701,id_364
id_9,id_1627
id_1615,id_448
id_2280,id_502
id_2130,id_2030
id_523,id_881
id_2069,id_2499
id_1106,id_570
id_1732,id_1090
id_1898,id_469
id_1570,id_198
id_1755,id_198
id_1825,id_1813
id_1520,id_2325
id_877,id_2398
id_699,id_699
id_699,id_1675
id_1129,id_320
id_335,id_1102
id_1428,id_1102
id_2506,id_302
id_1293,id_347
id_347,id_2140
id_172,id_1568
id_1312,id_1312
id_1293,id_2140
id_238,id_238
id_238,id_1478
id_2152,id_238
id_2499,id_1382
id_1744,id_1327
id_733,id_733
id_1086,id_1086
id_1557,id_1087
id_1146,id_428
id_1086,id_2435
id_1111,id_1907
id_25,id_1111
id_521,id_520
id_2363,id_516
id_1741,id_2503
id_2120,id_175
id_1487,id_1605
id_278,id_1547
id_2424,id_608
id_77,id_1529
id_425,id_77
id_374,id_371
id_516,id_1211
id_1325,id_1219
id_1089,id_856
id_60,id_489
id_2218,id_2373
id_346,id_346
id_1188,id_1254
id_1254,id_1700
id_2434,id_1087
id_279,id_2292
id_1879,id_333
id_1857,id_2254
id_706,id_188
id_599,id_1795
id_1857,id_1857
id_888,id_205
id_1325,id_1410
id_2097,id_1476
id_916,id_667
id_916,id_2293
id_1520,id_517
